end_time_s,background_filtered_target_amp,without_filtered_target_amp,with_filtered_target_amp
11.3,1.9893495547835937e-08,0.3194656925499714,0.2427446584830925
11.4,1.5444686431896895e-08,0.3448769962659107,0.213122332588544
11.5,3.673871470836861e-08,0.3709326217340135,0.22101120964042917
11.6,2.896513422072959e-08,0.38029386812185206,0.22865028048904487
11.7,7.668115404630339e-08,0.38318102695287815,0.2166112348923469
11.8,6.095566582923101e-08,0.3860879301584591,0.2168320606433069
11.9,1.9093508806171e-07,0.4085815966796762,0.2105573321719228
12.0,1.515302456754233e-07,0.46697790858820165,0.1962204695742955
12.1,6.33628820687899e-07,0.4563498931180108,0.24125270805746937
12.2,4.829168726231967e-07,0.3720720977795252,0.24206586996076093
12.3,3.7410088421627484e-06,0.36626339078463455,0.19070627675444232
12.4,1.9321404380120868e-06,0.372763578387181,0.17910615404794028
12.5,0.00021342271308676501,0.33760343441000074,0.17860126850338887
12.6,0.00011806623480042429,0.3710147633323437,0.17947459036661007
12.7,0.009827706937453322,0.3903830973451231,0.19603970217394068
12.8,0.009863597892766907,0.3811269706914179,0.2221268052777098
12.9,0.00039554102098098514,0.3639437492298494,0.24202525656890006
13.0,4.766808806281511e-05,0.3916001704940424,0.23875418114589547
13.1,3.991900981066176e-06,0.4160932468809114,0.20661944004761285
13.2,2.097562206936324e-06,0.35896410231541404,0.19733024303238428
13.3,6.576600614259332e-07,0.3384562796287125,0.22844066273314667
13.4,4.0495511269526613e-07,0.4330309191093948,0.24432267515132075
13.5,1.959696468994532e-07,0.485510674543163,0.2347751908996175
13.6,1.2854442256319603e-07,0.4198694974595197,0.22160229953878968
13.7,7.810676351358106e-08,0.4123840461658299,0.21603180393382837
13.8,5.300617562783526e-08,0.45332221998778593,0.21026271521517487
13.9,3.712316016869808e-08,0.44177781405698563,0.23611638618355052
14.0,2.5740222718844366e-08,0.4618730383858247,0.23708349303265655
14.1,1.9869611683021664e-08,0.4662533610811718,0.21997243294256347
14.2,1.3991051608023057e-08,0.4444045482236554,0.20775783755729585
14.3,1.158726818480934e-08,0.46815510657318066,0.18825238476116313
14.4,8.263299529398848e-09,0.45064440181876114,0.22558700204407015
14.5,7.20995514716907e-09,0.391474460554525,0.22675205096023418
14.6,5.204952368701011e-09,0.4021849141051059,0.18452437141604403
14.7,4.719284115030261e-09,0.46131161686590516,0.1890915136097794
14.8,3.4539629979777002e-09,0.4997172787658403,0.19125127382978424
14.9,3.216543947907345e-09,0.4918027233782309,0.183488470948573
15.0,2.3949705814772103e-09,0.45005640529394875,0.1841112593854889
15.1,2.265407656842995e-09,0.4514699718383363,0.19440875115128936
15.2,1.7259000736602363e-09,0.4843450460782932,0.17747023835353012
15.3,1.6388069311252982e-09,0.48057287462616644,0.1836161859756975
15.4,1.2882277674710553e-09,0.4671114958907064,0.2469125536651862
15.5,1.2116351223174932e-09,0.4466751184123627,0.27966842307059375
15.6,9.94080617166368e-10,0.42432640605277927,0.2695939697923524
15.7,9.115882445653335e-10,0.42854902284785273,0.19623361210196197
15.8,7.924799256143036e-10,0.44383290297377664,0.20304408898696763
15.9,6.951446655036358e-10,0.46772778882569227,0.2457342354744351
16.0,6.52699708277907e-10,0.45225864751400896,0.1874236585081841
16.1,5.351744861150841e-10,0.38627140407432664,0.1797352148528449
16.2,5.556144350428632e-10,0.4028563530458786,0.2260319200967267
16.3,4.1424703259479754e-10,0.43424952571086,0.2583824376450746
16.4,4.889910397577246e-10,0.4327284726076388,0.26171191894126655
16.5,3.208739370771531e-10,0.4112046477889577,0.2838510998434785
16.6,4.4482731443422396e-10,0.3822405747491899,0.26319859295633724
16.7,2.4733837007795084e-10,0.4109031213377933,0.23266002388026177
16.8,4.1780108784092324e-10,0.3980227373546953,0.24050209542964615
16.9,1.8843361681805124e-10,0.3931973487298308,0.253927655823672
17.0,4.043471300838191e-10,0.4464918992413003,0.27554080636645656
17.1,1.407929329602998e-10,0.4487653225457533,0.27010223011813633
17.2,4.020996014201357e-10,0.4112142314388125,0.22256147390450398
17.3,1.027608905679258e-10,0.40685108340047016,0.18645395004874568
17.4,4.095511061833893e-10,0.4388362100470688,0.23434654502947752
17.5,7.507936020510067e-11,0.4640323688751911,0.26167407597286013
17.6,4.25841958705465e-10,0.408390893090079,0.2341233607927504
17.7,6.21517862196025e-11,0.39479277633106635,0.18091837030579597
17.8,4.5063013689451937e-10,0.4390695197853297,0.19491466418079542
17.9,6.792703215497662e-11,0.4399260555757559,0.24449183675570677
18.0,4.840149222738784e-10,0.410210251976049,0.26200628394462816
18.1,8.753693135080171e-11,0.424128746988223,0.2450594274367076
18.2,5.26500173910228e-10,0.4354613907579423,0.1967796600587194
18.3,1.1443903437916808e-10,0.4031328271021986,0.20858779115646656
18.4,5.789904922857332e-10,0.3947566323273651,0.23683082101207692
18.5,1.459486376538383e-10,0.384496344926948,0.23060410867056247
18.6,6.428183629586288e-10,0.36598138654382034,0.22423694421160573
18.7,1.8165383532137322e-10,0.36866209338518774,0.19677072640119395
18.8,7.198030627526959e-10,0.3978868746370654,0.18899663098998787
18.9,2.2211924068198258e-10,0.39733823621271214,0.19159264890243122
19.0,8.123462466980928e-10,0.3876546417889655,0.24207205241946028
19.1,2.684419227246059e-10,0.3878545971127405,0.34536533770876265
19.2,9.235722688170043e-10,0.3631149286264548,0.356396446005101
19.3,3.221504178045268e-10,0.34557210190940213,0.3010158970094094
19.4,1.0575268279847313e-09,0.3832449577886014,0.28231294478862745
